elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
2994,126,6,391,57,4272,231,236,138,2018,0,11,1
2892,68,13,592,142,1510,233,213,109,859,2,31,1
2922,225,10,242,16,5720,207,250,179,2547,0,29,1
2581,17,20,242,106,2161,199,194,125,616,2,9,5
2426,343,15,42,8,671,188,216,166,1195,3,9,5
2541,358,44,216,6,417,118,124,116,1524,2,9,1
2384,333,30,67,28,524,139,187,179,752,2,9,5
3752,332,16,942,306,5218,183,219,175,3330,2,39,6
2308,114,26,242,111,708,254,203,59,1598,3,2,3
2397,294,25,210,68,247,142,224,219,604,3,9,2
2706,66,29,95,71,108,233,167,45,1300,0,29,4
3425,356,17,108,34,1798,190,206,152,2018,1,38,6
3239,341,9,703,163,430,202,228,164,2012,2,32,1
3342,133,8,42,0,1253,234,236,134,1289,1,37,6
2807,57,18,175,85,1928,229,200,97,711,2,12,4
2583,26,22,150,35,300,203,186,111,1369,2,9,5
3277,199,11,420,50,4148,216,250,167,2197,0,22,6
2308,348,7,0,0,124,207,229,160,42,3,9,3
3388,282,8,421,66,3923,198,241,182,2079,2,39,6
2479,29,5,0,0,408,218,229,147,1249,3,5,3
2496,13,11,499,84,495,210,218,145,987,3,5,5
2654,273,16,30,1,1504,175,243,206,841,2,32,4
2387,4,23,212,71,1388,183,189,137,382,3,9,5
2316,331,12,42,4,1560,192,225,172,577,3,9,5
2571,131,9,268,45,618,236,235,130,845,3,5,2
3244,60,10,108,14,1463,228,219,123,2496,0,22,0
2381,325,21,335,98,1110,162,212,187,1050,3,9,5
3420,293,12,540,81,1622,185,237,192,812,2,37,6
1921,317,12,0,0,270,189,230,181,700,3,0,5
2618,145,21,67,23,2007,244,231,105,2101,2,3,2
3218,81,6,949,50,3978,228,230,136,2287,0,18,0
2593,45,5,150,3,1201,221,229,143,1764,2,1,1
2833,85,23,424,184,437,246,194,66,1714,0,29,4
2445,336,20,175,14,876,172,209,174,1015,3,9,5
2895,7,15,524,100,3092,201,209,144,1316,2,31,1
3365,84,5,421,43,1233,227,231,139,2491,2,31,6
2041,344,32,270,192,240,141,174,161,819,3,4,5
2817,14,2,190,26,2598,217,235,155,2502,0,11,1
3357,41,21,108,2,3610,218,190,98,2535,0,36,6
2555,66,8,30,-3,2808,228,225,131,2440,2,19,1
3365,99,19,42,9,4263,247,211,85,3933,2,32,6
3313,31,6,60,-6,3748,219,228,145,2403,0,36,6
2277,0,28,218,61,636,168,177,137,990,3,9,5
2433,108,15,124,-1,95,244,222,103,384,2,3,5
2595,35,17,216,75,1362,216,201,116,612,2,10,2
3180,83,9,30,1,2856,233,224,122,2534,0,28,6
2634,130,15,90,0,2279,243,230,112,2461,2,3,4
2742,67,32,150,74,180,233,158,32,1661,0,28,4
3247,180,10,127,8,4693,224,247,155,2673,2,32,0
2974,358,6,67,16,2249,210,228,156,1025,2,21,0
3218,153,6,216,20,2808,228,240,146,5078,0,38,0
2525,37,10,108,17,959,220,219,133,883,3,5,1
2720,72,5,297,29,212,225,231,141,900,2,10,4
2721,78,27,134,79,150,243,179,49,1604,0,29,4
2707,111,3,30,-3,1347,225,236,145,2180,0,11,1
2380,133,9,30,0,679,235,236,132,1006,2,13,5
2323,347,16,30,6,495,188,212,162,792,3,9,2
3181,332,17,488,61,4084,180,217,176,751,2,23,0
2809,171,21,301,103,630,229,244,137,551,0,29,4
3302,308,12,258,47,5675,188,232,185,745,0,37,0
3299,43,15,60,-1,3479,221,205,115,2844,2,38,6
3396,349,14,591,57,1423,194,217,160,1426,2,37,6
2151,134,31,85,47,899,250,208,60,255,3,2,3
3345,115,35,376,112,2084,254,183,25,1398,0,38,6
2820,96,16,192,63,426,244,216,97,1260,0,29,4
3360,193,14,175,25,3090,217,251,164,1892,2,31,0
2952,63,7,134,2,4595,226,226,134,2180,0,22,4
3163,333,9,300,-22,1183,200,229,168,780,1,23,0
2398,198,10,256,54,914,217,249,166,1530,3,5,5
3350,11,10,510,115,3153,210,221,147,3391,2,31,6
2580,180,1,134,6,592,219,239,157,1116,2,10,1
3410,17,6,474,83,1714,215,228,150,2190,2,37,0
2753,221,22,210,58,1482,188,254,195,1273,2,32,1
2548,27,22,153,73,2160,204,186,109,684,2,9,5
2448,22,9,60,0,1031,214,220,141,886,2,1,5
3368,88,6,450,46,1291,229,230,135,2471,2,31,6
2982,153,14,242,-8,3841,236,240,132,5622,0,29,1
2390,131,19,402,193,757,247,227,101,1604,3,5,3
3292,352,2,150,24,5772,216,236,157,691,0,21,0
2173,25,21,0,0,1590,205,189,114,175,3,13,3
3368,83,6,532,29,1020,228,230,137,2407,2,31,6
2573,60,20,170,63,1387,231,194,87,1601,2,9,5
3410,127,24,108,47,4112,251,216,79,3810,2,32,6
2665,153,19,616,11,684,239,238,121,1296,2,10,2
3097,77,19,67,14,4866,240,201,84,2910,0,28,0
2918,31,12,268,23,797,216,213,130,1616,2,31,1
2725,61,21,175,46,192,232,192,83,1838,0,28,4
2470,188,7,497,217,902,221,246,159,589,3,1,5
3011,17,14,446,-21,658,208,209,136,607,2,30,1
2740,155,13,85,1,1565,235,241,135,2377,2,12,4
2049,87,24,0,0,480,247,194,63,552,3,13,3
2157,347,12,0,0,1103,197,221,161,830,3,16,3
2353,261,9,170,59,882,199,245,185,560,3,5,2
2795,141,19,42,11,3156,244,231,108,2581,0,11,1
3122,336,11,680,106,1477,195,225,169,2223,2,31,0
2932,100,9,0,0,3537,236,227,122,6335,0,15,1
2633,144,12,120,0,2262,237,237,128,2461,2,3,4
2377,118,17,400,180,666,247,223,99,1681,3,5,3
2504,29,11,351,26,685,216,217,135,3677,0,17,4
2200,341,24,0,0,1082,164,198,169,576,3,9,3
2391,218,11,127,38,0,208,251,178,60,2,1,5
2307,103,20,108,59,886,249,210,80,1080,3,10,5
2454,343,16,256,3,934,186,214,166,990,3,5,5
2724,76,25,42,-6,134,241,184,58,2206,0,29,4
3231,8,13,972,214,2079,204,213,145,2213,2,23,6
3041,58,10,488,37,5616,228,218,123,4040,0,28,0
2656,102,16,124,43,2304,245,217,96,2471,2,10,2
2166,123,28,85,36,1276,253,205,58,638,3,2,3
3409,342,9,789,70,1409,201,226,164,1615,2,37,6
2913,276,7,330,11,5507,201,242,179,5683,0,22,0
2915,100,11,300,105,300,238,225,116,659,0,28,1
2428,29,8,342,119,362,217,222,140,366,3,1,2
3447,324,21,624,113,1718,161,212,188,612,2,38,6
2139,84,37,120,88,430,242,151,0,242,3,2,3
3158,211,11,228,11,2766,211,250,174,785,2,31,1
2275,16,20,192,72,711,200,195,127,969,3,9,5
3354,332,11,30,2,5041,193,225,172,3572,2,37,6
2367,122,21,371,170,684,250,218,85,1657,3,2,3
2193,132,13,30,0,934,241,233,119,1358,3,2,3
2114,336,19,0,0,1218,175,211,173,1140,3,16,3
2842,95,6,437,58,1947,229,231,136,1426,0,11,1
2810,15,15,190,3,1315,205,207,136,2052,2,30,5
3384,25,12,600,145,3060,214,215,135,2310,2,31,6
3405,162,12,420,8,2285,232,243,141,350,2,39,6
2280,52,8,362,57,789,225,222,131,458,3,1,2
3105,310,12,0,0,2109,188,232,184,1057,2,22,0
2036,49,32,67,39,180,215,155,51,297,3,3,2
3070,204,9,560,56,5828,215,249,168,1616,0,28,0
2440,103,11,30,8,794,238,226,118,1008,2,13,5
3365,38,15,459,126,3212,218,205,118,2225,2,38,6
2470,185,17,433,200,1082,221,250,156,601,3,1,5
2683,60,13,60,5,1356,230,212,113,1509,2,9,1
2836,92,15,190,76,1548,242,216,99,1485,2,32,4
2378,317,19,295,95,1140,165,219,192,1057,3,9,5
2288,184,4,0,0,201,220,242,157,433,3,10,3
2409,305,26,402,182,875,139,215,212,218,3,9,2
2232,119,20,30,7,484,250,218,88,1829,3,2,3
3375,35,11,256,-21,2101,219,215,131,3444,0,37,6
3422,159,11,390,222,2565,232,242,140,633,2,37,6
3363,146,25,418,130,2151,245,227,96,1340,0,38,6
2323,110,22,95,40,1142,251,209,73,1092,3,3,5
2396,287,19,182,90,1142,163,235,211,1455,3,9,5
2217,68,18,30,-11,930,236,200,89,967,3,4,3
