,elevation,aspect,slope,hd_to_hydrology,vd_to_hydrology,hd_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,hd_to_firepoint,wilderness,soil,target
0,2596,51,3,258,0,510,221,232,148,6279,0,28,4
1,2590,56,2,212,-6,390,220,235,151,6225,0,28,4
2,2804,139,9,268,65,3180,234,238,135,6121,0,11,1
3,2785,155,18,242,118,3090,238,238,122,6211,0,29,1
4,2595,45,2,153,-1,391,220,234,150,6172,0,28,4
5,2579,132,6,300,-15,67,230,237,140,6031,0,28,1
6,2606,45,7,270,5,633,222,225,138,6256,0,28,4
7,2605,49,4,234,7,573,222,230,144,6228,0,28,4
8,2617,45,9,240,56,666,223,221,133,6244,0,28,4
9,2612,59,10,247,11,636,228,219,124,6230,0,28,4
10,2612,201,4,180,51,735,218,243,161,6222,0,17,4
11,2886,151,11,371,26,5253,234,240,136,4051,0,29,1
12,2742,134,22,150,69,3215,248,224,92,6091,0,29,1
13,2609,214,7,150,46,771,213,247,170,6211,0,17,4
14,2503,157,4,67,4,674,224,240,151,5600,0,17,4
15,2495,51,7,42,2,752,224,225,137,5576,0,15,4
16,2610,259,1,120,-1,607,216,239,161,6096,0,28,4
17,2517,72,7,85,6,595,228,227,133,5607,0,17,4
18,2504,0,4,95,5,691,214,232,156,5572,0,17,4
19,2503,38,5,85,10,741,220,228,144,5555,0,17,4
20,2501,71,9,60,8,767,230,223,126,5547,0,17,4
21,2880,209,17,216,30,4986,206,253,179,4323,0,29,1
22,2768,114,23,192,82,3339,252,209,71,5972,0,29,4
23,2511,54,8,124,0,638,225,222,130,5569,0,17,4
24,2507,22,9,120,14,732,215,221,143,5534,0,17,4
25,2492,135,6,0,0,860,229,237,142,5494,0,17,4
26,2489,163,10,30,-4,849,230,243,145,5486,0,17,4
27,2962,148,16,323,23,5916,240,236,120,3395,0,28,1
28,2811,135,1,212,30,3670,220,238,154,5643,0,11,1
29,2739,117,24,127,53,3281,253,210,71,6033,0,29,4
30,2703,122,30,67,27,3191,254,201,52,6123,0,29,4
31,2522,105,7,120,1,595,233,231,130,5569,0,17,4
32,2519,102,6,124,4,616,230,233,137,5559,0,17,4
33,2516,23,6,150,4,658,216,227,147,5541,0,17,4
34,2515,41,9,162,4,680,221,220,133,5532,0,17,4
35,2900,45,19,242,20,5199,221,195,100,4115,0,28,1
36,2709,125,28,67,23,3224,253,207,61,6094,0,29,4
37,2511,92,7,182,18,722,231,229,131,5494,0,17,4
38,2749,98,30,124,53,3316,252,183,36,6005,0,29,4
39,2686,354,12,0,0,3167,200,219,157,6155,0,29,4
40,2699,347,3,0,0,2096,213,234,159,6853,0,19,0
41,2570,346,2,0,0,331,215,235,158,5745,0,28,1
42,2533,71,9,150,-3,577,230,223,126,5552,0,17,4
43,2703,330,27,30,17,3141,146,197,184,6186,0,15,4
44,2678,128,5,95,23,1660,229,236,141,6546,0,11,1
45,2529,68,8,210,-5,666,228,225,130,5484,0,17,4
46,2524,94,7,212,-4,684,232,229,130,5474,0,17,4
47,2536,99,6,234,0,659,230,232,136,5475,0,17,4
48,2498,66,6,95,7,900,227,227,135,5357,0,17,4
49,2489,100,7,85,13,810,232,231,131,5334,0,17,4
50,2713,117,30,60,17,3297,254,198,48,6039,0,29,4
51,2739,323,25,85,43,3118,149,205,192,6219,0,28,0
52,2696,72,2,30,0,3271,222,234,149,6071,0,29,0
53,2510,79,14,192,19,891,237,215,106,5325,0,17,4
54,2502,81,7,175,11,912,230,227,129,5316,0,17,4
55,2722,315,24,30,19,3216,148,212,200,6132,0,15,0
56,2500,74,11,190,9,930,233,219,116,5279,0,17,4
57,2486,68,5,180,-4,870,225,230,139,5262,0,17,4
58,2489,11,4,175,13,840,216,232,153,5254,0,17,4
59,2489,42,6,162,13,810,221,227,141,5247,0,17,4
60,2490,75,5,134,17,810,227,230,137,5218,0,17,4
61,2952,107,11,42,7,5845,239,226,116,3509,0,28,1
62,2705,90,8,134,22,2023,232,228,129,6615,0,11,1
63,2507,40,7,153,10,930,221,224,138,5221,0,17,4
64,2500,49,14,150,27,870,225,210,116,5205,0,17,4
65,2493,63,10,127,20,840,229,221,124,5197,0,17,4
66,2509,59,7,134,10,900,226,226,134,5184,0,17,4
67,2919,13,13,90,6,5321,207,214,142,4060,0,28,0
68,2740,54,6,218,42,2287,224,227,138,6686,0,11,1
69,2640,80,8,180,-2,1092,231,225,127,5866,0,28,1
70,2843,166,12,242,53,4434,230,244,144,4956,0,29,1
71,3008,45,14,277,10,6371,223,208,116,3036,0,28,1
72,2893,114,16,108,30,5066,245,223,102,4340,0,28,1
73,2850,6,9,0,0,4858,210,223,151,4548,0,15,1
74,2628,30,10,240,19,960,217,218,136,5645,0,28,1
75,2864,118,18,201,74,4567,248,221,93,4849,0,29,1
76,2827,160,28,134,65,3948,235,233,108,5474,0,29,1
77,2529,326,5,30,14,1062,207,234,166,5047,0,15,1
78,2808,99,7,382,95,3107,233,230,130,6341,0,11,0
79,2840,153,26,134,42,4613,241,231,102,4833,0,29,1
80,2795,79,10,531,96,2980,233,223,121,6497,0,19,0
81,2746,143,16,67,22,2440,241,235,119,6597,0,11,1
82,2847,352,26,150,82,3697,166,187,152,5796,0,28,0
83,2840,14,14,216,88,3552,206,210,140,5944,0,11,0
84,2537,42,7,210,17,1132,222,224,137,4919,0,17,1
85,2860,358,17,175,98,3705,191,206,151,5800,0,28,0
86,2818,332,26,30,17,4526,151,197,181,4978,0,28,1
87,2801,18,7,560,58,3084,215,226,148,6457,0,11,1
88,2791,63,10,418,48,2942,229,221,124,6606,0,11,1
89,2745,306,11,67,24,2416,190,234,184,6428,0,28,1
90,2514,102,6,272,-5,1082,230,233,137,4811,0,17,1
91,2788,13,16,30,8,4126,203,206,137,5396,0,28,1
92,2562,354,12,67,9,1057,200,218,156,5031,0,29,1
93,3073,173,12,108,-3,6836,227,246,149,2735,0,28,1
94,2978,71,10,426,85,5742,231,221,121,3792,0,28,1
95,2860,31,10,295,98,3644,218,218,135,5904,0,11,0
96,3067,164,11,85,7,6811,230,243,144,2774,0,28,1
97,2804,72,5,543,61,3115,225,231,141,6471,0,11,1
98,2562,59,3,0,0,1116,221,233,148,5091,0,15,1
99,2567,34,9,190,16,1136,219,221,138,4924,0,17,1
100,2998,45,8,351,16,5842,223,222,134,3721,0,28,1
101,2684,84,12,150,2,1677,237,220,113,5693,0,28,1
102,2676,42,11,150,-5,1634,222,216,128,5655,0,28,1
103,2863,102,15,190,71,4389,244,219,100,5184,0,28,0
104,2574,170,5,170,23,1180,224,242,153,4910,0,17,1
105,2511,211,6,162,30,1071,216,245,166,4660,0,17,1
106,3067,32,4,30,-2,6679,219,230,147,2947,0,19,1
107,2909,57,16,134,23,5502,229,203,102,4084,0,28,1
108,2863,348,14,309,89,3918,193,216,161,5695,0,28,0
109,2567,333,1,0,0,1266,216,237,158,5079,0,15,1
110,3182,105,11,408,33,6000,240,226,115,1184,0,28,0
111,2818,324,12,242,26,4156,189,227,177,5467,0,15,0
112,2752,332,6,342,24,2372,207,233,165,6131,0,11,1
113,2751,88,5,400,30,2322,228,231,137,6088,0,11,1
114,2569,102,7,228,18,1266,232,231,132,4844,0,17,1
115,3195,111,15,469,46,5941,245,222,101,1206,0,28,0
116,2982,53,14,240,63,5756,227,209,112,3880,0,28,1
117,2850,58,6,295,58,4394,225,227,137,5239,0,28,0
118,2586,76,4,190,30,1290,225,232,143,4875,0,17,1
119,2837,17,13,330,45,4241,208,211,138,5428,0,28,0
120,2723,99,6,301,34,2109,230,232,136,5793,0,11,1
121,3070,0,11,30,-6,6890,204,220,153,2858,0,28,1
122,3057,124,12,150,53,6508,240,231,118,3211,0,28,1
123,2818,119,19,30,10,5213,248,220,92,4497,0,28,1
124,2847,320,33,85,39,4983,120,190,199,4727,0,28,1
125,2606,112,11,30,4,1584,239,228,119,5106,0,15,1
126,2893,83,6,551,101,4011,229,230,135,5755,0,11,1
127,2716,1,10,234,27,2100,206,222,153,5581,0,11,1
128,2644,125,20,67,25,1719,249,221,90,5168,0,28,1
129,2613,37,5,216,34,1519,220,229,146,4818,0,11,1
130,2929,356,12,0,0,5757,201,219,155,4017,0,23,1
131,2767,307,12,30,8,2796,187,233,186,6192,0,28,1
132,2991,49,13,85,0,6199,225,211,117,3613,0,23,0
133,2939,56,18,95,20,5563,229,200,98,4224,0,23,1
134,2537,7,12,0,0,1583,205,216,148,4509,0,15,1
135,3119,119,7,162,10,6660,233,234,133,2556,0,28,1
136,2942,346,12,30,3,5918,197,221,162,3900,0,23,0
137,2886,12,7,570,94,4295,213,226,150,5518,0,28,0
138,2775,344,13,42,7,2854,194,219,164,6177,0,28,1
139,2490,79,9,240,13,878,232,224,124,4184,0,17,1
140,3106,228,18,658,108,5984,191,254,196,1655,0,28,0
141,2831,284,24,60,23,5208,145,232,222,4611,0,23,1
142,2837,112,8,272,16,3649,235,231,128,6221,0,11,1
143,2890,299,23,180,79,5104,150,224,212,4734,0,23,1
144,2824,135,5,218,6,3583,227,238,144,6316,0,19,1
145,2728,135,3,242,32,2250,224,238,150,5515,0,11,1
146,2962,88,16,190,23,6095,242,212,95,3811,0,23,0
147,3142,220,11,424,69,6216,207,251,179,1989,0,28,1
148,2847,2,6,175,10,3757,212,229,154,6194,0,19,1
149,2536,34,5,242,16,1242,219,228,146,4201,0,17,1
150,3168,95,6,30,0,4884,229,231,136,1239,0,28,0
151,2926,289,24,210,99,5126,145,228,220,4814,0,23,0
152,2893,21,6,295,36,4106,216,227,148,5865,0,11,1
153,2687,20,11,150,39,1986,212,217,140,4936,0,11,1
154,3109,211,17,424,55,6089,204,254,181,2017,0,28,1
155,3119,200,20,60,0,6297,208,253,172,2377,0,28,1
156,2916,349,10,488,36,4472,202,223,160,5502,0,28,0
157,2795,18,3,218,17,3042,217,233,153,6073,0,11,1
158,2555,58,14,285,19,1231,230,209,109,4159,0,17,1
159,2499,42,13,497,-7,953,222,212,123,3950,0,17,1
160,3027,173,11,335,42,5678,227,245,149,1900,0,28,0
161,3096,160,15,85,16,6156,234,242,135,2310,0,28,0
162,2916,105,13,268,89,5618,242,223,108,4417,0,28,1
163,2591,42,12,350,22,1398,222,213,125,4224,0,28,1
164,3185,328,16,127,13,4763,178,219,180,1392,0,28,0
165,3021,221,10,324,39,5675,208,250,177,1937,0,28,0
166,3083,257,4,510,-25,6363,209,242,171,2873,0,28,1
167,2860,276,33,60,33,5292,115,226,240,4759,0,23,1
168,3008,196,15,228,20,5535,215,251,166,1924,0,22,1
169,3034,189,14,384,66,5754,220,250,160,2012,0,28,0
170,2873,130,16,67,16,4030,244,230,110,6091,0,29,1
171,3182,49,13,319,7,4767,225,211,118,1513,0,28,0
172,2998,102,12,384,158,6026,239,225,114,4121,0,28,1
173,2658,357,20,300,54,1597,184,199,149,4286,0,28,1
174,3175,15,7,366,92,4816,214,226,149,1584,0,28,0
175,2952,8,7,488,125,4953,212,227,152,5192,0,19,0
176,2622,95,12,484,39,1329,239,222,112,4086,0,28,1
177,2955,288,21,247,128,5224,156,233,215,4968,0,23,1
178,2837,66,9,201,23,3655,229,221,124,6341,0,19,1
179,3182,45,3,458,109,4723,220,232,149,1661,0,28,0
180,3077,129,3,618,43,6296,225,237,147,3261,0,28,1
181,2755,320,4,30,-1,2890,209,236,165,5468,0,11,1
182,3047,28,11,600,13,6414,216,215,134,3540,0,28,0
183,2880,86,12,30,3,4369,237,221,113,5906,0,29,1
184,3221,292,3,424,49,4401,212,238,165,1710,0,28,0
185,3182,115,10,553,10,4605,237,231,124,1768,0,28,0
186,3064,29,24,150,46,5051,204,182,104,2148,0,28,0
187,2827,332,15,42,9,3599,185,221,174,6067,0,28,1
188,2518,107,5,360,39,553,229,234,139,3522,0,17,1
189,3050,180,4,277,-3,5782,221,242,156,2721,0,28,0
190,3107,356,12,283,89,4855,201,219,155,2069,0,28,0
191,2995,173,15,268,135,6312,228,246,146,4135,0,29,1
192,2721,164,4,67,-2,1747,224,241,152,4191,0,11,1
193,3182,116,7,579,10,4425,233,233,133,1854,0,28,0
194,2724,132,11,60,-2,2720,238,234,124,4875,0,11,1
195,2515,90,9,313,39,511,233,227,125,3451,0,17,1
